Source,Target,Weight
Maria,sentiu,1
sentiu,apetite,1
Maria,dando,1
dando,espelho,1
Maria,mostrava,1
mostrava,soberanamente,1
Maria,teve,2
teve,filho,1
Maria,jantava,1
jantava,quarto,1
Maria,dormiu,1
dormiu,excitação,1
Maria,mandou,1
mandou,moça,1
Maria,sentia,1
sentia,risadas,1
Maria,perguntou,2
perguntou,Pedro,1
Maria,pareceu,2
pareceu,verdade,1
pareceu,efeito,1
Maria,era,6
era,regeneradora,1
Maria,chorou,1
chorou,dependurada,1
Maria,tinha,3
tinha,casa,1
Maria,separar,1
separar,.»,1
era,faladora,1
perguntou,aventureiro,1
Maria,achava,3
achava,música,1
Maria,sabe,1
sabe,definição,1
Maria,ria,1
ria,espanhola,1
Maria,fora,1
fora,lindas,1
Maria,encolheu,1
encolheu,ombros,1
Maria,falando,1
falando,inglês,1
Maria,associou,1
associou,caridades,1
Maria,saindo,1
saindo,abatimento,1
Maria,olhou,1
olhou,condessa,1
Maria,parece,1
parece,murcha,1
Maria,respondeu,2
respondeu,face,1
Maria,é,2
é,meritório,1
Maria,entrava,2
entrava,ventura,1
Maria,sorria,2
sorria,toldo,1
tinha,inquietação,1
era,confidente,1
Maria,abria,1
abria,jardim,1
Maria,desejava,1
desejava,noite,1
Maria,perdiam,1
perdiam,vez,1
teve,medo,1
Maria,ouviu,1
ouviu,caída,1
Maria,disse,2
disse,Mais,1
Maria,escrevendo,1
escrevendo,Santa,1
Maria,espera,2
espera,angustiada,1
Maria,esperava,1
esperava,lei,1
Maria,mostrando,1
mostrando,amor,1
Maria,apareceu,1
apareceu,embrulhada,1
Maria,visita,1
visita,avô,1
Maria,lançou,1
lançou,braços,1
Maria,considerava,1
considerava,fotografia,1
Maria,acariciou,1
acariciou,cavalos,1
achava,«,1
Maria,tens,1
tens,caldo,1
disse,Carlos,1
entrava,véu,1
Maria,falar,1
falar,passado,1
Maria,estava,1
estava,caída,1
Maria,queres,1
queres,comigo,1
Maria,tomou,1
tomou,mão,1
respondeu,olhar,1
Maria,entrou,1
entrou,quiosque,1
Maria,levou,1
levou,salas,1
Maria,rindo,1
rindo,lindas,1
Maria,queria,2
queria,risse,1
queria,falassem,1
Maria,tocava,1
tocava,«,1
Maria,isolar,1
isolar,Inverno,1
Maria,dava,1
dava,notícias,1
espera,Ega,1
Maria,cantou,1
cantou,palrou,1
sorria,amigos,1
Maria,passavam,1
passavam,manhãs,1
era,devota,1
Maria,abriu,1
abriu,janela,1
Maria,gritou,1
gritou,janela,1
Maria,ficou,1
ficou,atrapalhado,1
era,cobarde,1
Maria,contaram,1
contaram,maestro,1
Maria,saber,1
saber,decisão,1
Maria,contando,1
contando,horrores,1
Maria,tocar,1
tocar,notas,1
Maria,procurava,1
procurava,«,1
achava,sujeito,1
Maria,entendia,1
entendia,retórica,1
Maria,toca,1
toca,Beethoven,1
Maria,ficava,1
ficava,piano,1
Maria,tocou,1
tocou,braço,1
é,luz,1
tinha,anos,1
Maria,vivia,1
vivia,irlandês,1
Maria,meteu,1
meteu,Castro,1
Maria,passa,1
passa,parenta,1
Maria,fugisse,1
fugisse,desaparecesse,1
Maria,esteve,1
esteve,falar,1
Maria,morreu,1
morreu,sombra,1
Maria,chorar,1
chorar,silêncio,1
Maria,moveu,1
moveu,cabeça,1
Maria,arrebatar,1
arrebatar,papel,1
era,indiscreta,1
Maria,conhecendo,1
conhecendo,erros,1
